Ref,Val,Package,PosX,PosY,Rot,Side
"C1","6pF","C_0402_1005Metric_Small",20.587999,18.445000,90.000000,top
"C2","6pF","C_0402_1005Metric_Small",16.987999,18.445000,270.000000,top
"C9","10uF/50v","C_0805_2012Metric_Small",2.861999,9.648000,270.000000,top
"C10","10uF/50v","C_0805_2012Metric_Small",1.296999,9.643000,270.000000,top
"C12","47uF / 6.3v","C_0805_2012Metric_Small",1.298999,15.318000,270.000000,top
"C14","100nF","C_0402_1005Metric_Small",19.850000,6.410000,270.000000,top
"C15","10uF","C_0402_1005Metric_Small",13.420000,7.310000,90.000000,top
"C22","100nF","C_0402_1005Metric_Small",18.300000,7.930000,180.000000,top
"C28","100nF","C_0402_1005Metric_Small",11.280000,15.180000,180.000000,top
"C39","10uF","C_0402_1005Metric_Small",12.620000,7.310000,90.000000,top
"C41","100nF","C_0402_1005Metric_Small",9.631999,10.561400,180.000000,top
"C42","100nF","C_0402_1005Metric_Small",9.631999,12.109000,180.000000,top
"D5","PMEG4030ER,115","Nexperia_CFP3_SOD-123W",6.220000,17.950000,180.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",1.070000,5.900000,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",24.980000,20.920000,0.000000,top
"FID5","Fiducial","Fiducial_0.5mm_Mask1mm",1.100000,20.910000,0.000000,top
"L2","10uH PA4332.103NLT","INDUCTOR_4x4x2",6.215999,14.525000,180.000000,top
"Q1","2N7002","SOT-23",7.230000,6.460000,270.000000,top
"R6","1M","R_0402_1005Metric_Small",4.180000,9.170000,90.000000,top
"R7","20","R_0402_1005Metric_Small",9.631999,11.335200,180.000000,top
"R11","15k","R_0402_1005Metric_Small",11.280000,16.710000,0.000000,top
"R12","1k","R_0402_1005Metric_Small",11.280000,15.950000,180.000000,top
"R14","2.2k","R_0402_1005Metric_Small",9.630000,6.440000,180.000000,top
"R15","100k","R_0402_1005Metric_Small",11.685166,18.449000,270.000000,top
"R18","51k","R_0402_1005Metric_Small",9.631999,9.013800,180.000000,top
"R19","4.7k","R_0402_1005Metric_Small",18.300000,4.870000,0.000000,top
"R20","4.7k","R_0402_1005Metric_Small",16.710000,6.440000,90.000000,top
"R21","100","R_0402_1005Metric_Small",12.500332,18.449000,90.000000,top
"R23","7.68k","R_0402_1005Metric_Small",9.631999,9.787600,180.000000,top
"R24","41.2k","R_0402_1005Metric_Small",9.631999,8.240000,0.000000,top
"R29","100","R_0402_1005Metric_Small",15.760999,18.449000,90.000000,top
"R30","100","R_0402_1005Metric_Small",14.945830,18.449000,90.000000,top
"R31","100","R_0402_1005Metric_Small",14.130664,18.449000,90.000000,top
"R32","100","R_0402_1005Metric_Small",13.315498,18.449000,90.000000,top
"R33","100","R_0402_1005Metric_Small",11.041999,7.310000,270.000000,top
"R34","100","R_0402_1005Metric_Small",11.824999,7.310000,270.000000,top
"R40","100","R_0402_1005Metric_Small",20.600000,7.370000,90.000000,top
"R41","100","R_0402_1005Metric_Small",21.350000,7.370000,90.000000,top
"R44","100","R_0402_1005Metric_Small",11.640000,9.700000,90.000000,top
"R47","1k","R_0402_1005Metric_Small",10.870000,18.450000,90.000000,top
"U1","H743","STM32H7_TFBGA100_T1",16.569999,12.700000,270.000000,top
"U3","ESC","JST_SM08B-SRSS-TB(LF)(SN)",13.009999,25.577000,180.000000,top
"U7","MP9943GQ-Z","MP9943GQ-Z",6.732999,10.234000,180.000000,top
"U8","BMP388","PQFN50P200X200X80-10N",18.290000,6.420000,0.000000,top
"U13","SER1","JST_SM06B-SRSS-TB(LF)(SN)",12.995000,5.150000,0.000000,top
"Y1","25MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",18.787999,18.445000,180.000000,top
