NEODEN,YY1,P&P FILE,,,,,,,,,,,
,,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,
,,,,,,,,,,,,,
Fiducial,1-X,0,1-Y,0,OverallOffsetX,0,OverallOffsetY,0,
,,,,,,,,,,,,,
NozzleChange,ON,BeforeComponent,6,Head2,Drop,Station1,PickUp,Station2,
NozzleChange,ON,BeforeComponent,33,Head1,Drop,Station2,PickUp,Station3,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
,,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm) ,Rotation,Head ,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
R14,2.2k,R_0402_1005Metric_Small,9.63,6.44,180,1,1,100,0,0,3,0
C12,47uF / 6.3v,C_0805_2012Metric_Small,1.3,15.32,90,2,33,100,0,1.35,1,0
R7,20,R_0402_1005Metric_Small,9.63,11.34,180,1,2,100,0,0,3,0
L2,10uH PA4332.103NLT,INDUCTOR_4x4x2,6.22,14.53,180,2,53,100,0,1.83,1,0
R15,100k,R_0402_1005Metric_Small,11.69,18.45,90,1,3,100,0,0,3,0
R12,1k,R_0402_1005Metric_Small,11.28,15.95,180,2,6,100,0,0,3,0
R47,1k,R_0402_1005Metric_Small,10.87,18.45,90,1,6,100,0,0,3,0
R11,15k,R_0402_1005Metric_Small,11.28,16.71,0,2,7,100,0,0,3,0
R19,4.7k,R_0402_1005Metric_Small,18.3,4.87,0,1,8,100,0,0,3,0
R20,4.7k,R_0402_1005Metric_Small,16.71,6.44,90,2,8,100,0,0,3,0
R21,100,R_0402_1005Metric_Small,12.5,18.45,90,1,10,100,0,0,3,0
R29,100,R_0402_1005Metric_Small,15.76,18.45,90,2,10,100,0,0,3,0
R30,100,R_0402_1005Metric_Small,14.95,18.45,90,1,10,100,0,0,3,0
R31,100,R_0402_1005Metric_Small,14.13,18.45,90,2,10,100,0,0,3,0
R32,100,R_0402_1005Metric_Small,13.32,18.45,90,1,10,100,0,0,3,0
R33,100,R_0402_1005Metric_Small,11.04,7.31,90,2,10,100,0,0,3,0
R34,100,R_0402_1005Metric_Small,11.82,7.31,90,1,10,100,0,0,3,0
R40,100,R_0402_1005Metric_Small,20.6,7.37,90,2,10,100,0,0,3,0
R41,100,R_0402_1005Metric_Small,21.35,7.37,90,1,10,100,0,0,3,0
R44,100,R_0402_1005Metric_Small,11.64,9.7,90,2,10,100,0,0,3,0
C14,100nF,C_0402_1005Metric_Small,19.85,6.41,90,1,12,100,0,0,3,0
C22,100nF,C_0402_1005Metric_Small,18.3,7.93,180,2,12,100,0,0,3,0
C28,100nF,C_0402_1005Metric_Small,11.28,15.18,180,1,12,100,0,0,3,0
C41,100nF,C_0402_1005Metric_Small,9.63,10.56,180,2,12,100,0,0,3,0
C42,100nF,C_0402_1005Metric_Small,9.63,12.11,180,1,12,100,0,0,3,0
C1,6pF,C_0402_1005Metric_Small,20.59,18.45,90,2,15,100,0,0,3,0
C2,6pF,C_0402_1005Metric_Small,16.99,18.45,90,1,15,100,0,0,3,0
R23,7.68k,R_0402_1005Metric_Small,9.63,9.79,180,2,16,100,0,0,3,0
C15,10uF,C_0402_1005Metric_Small,13.42,7.31,90,1,17,100,0,0,3,0
C39,10uF,C_0402_1005Metric_Small,12.62,7.31,90,2,17,100,0,0,3,0
R6,1M,R_0402_1005Metric_Small,4.18,9.17,90,1,30,100,0,0,3,0
R18,51k,R_0402_1005Metric_Small,9.63,9.01,180,2,31,100,0,0,3,0
U1,H743,STM32H7_TFBGA100_T1,16.57,12.7,90,1,80,70,2,0,4,0
C9,10uF/50v,C_0805_2012Metric_Small,2.86,9.65,90,1,0,100,0,0,3,1
C10,10uF/50v,C_0805_2012Metric_Small,1.3,9.64,90,1,0,100,0,0,3,1
D5,PMEG4030ER.115,Nexperia_CFP3_SOD-123W,6.22,17.95,180,1,0,100,0,0,3,1
Q1,2N7002,SOT-23,7.23,6.46,90,1,0,100,0,0,3,1
R24,41.2k,R_0402_1005Metric_Small,9.63,8.24,0,1,0,100,0,0,3,1
U3,ESC,JST_SM08B-SRSS-TB(LF)(SN),13.01,25.58,180,1,0,100,0,0,3,1
U7,MP9943GQ-Z,MP9943GQ-Z,6.73,10.23,180,1,0,100,0,0,3,1
U8,BMP388,PQFN50P200X200X80-10N,18.29,6.42,0,1,0,100,0,0,3,1
U13,SER1,JST_SM06B-SRSS-TB(LF)(SN),12.99,5.15,0,1,0,100,0,0,3,1
Y1,25MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,18.79,18.45,180,1,0,100,0,0,3,1
